52299: 10.1101/2022.05.28.493855
77558: 10.1101/2022.03.04.482974
80494: 10.1101/2022.06.24.497502
80729: 10.1101/2022.05.30.22275761
80984: 10.1101/2022.06.30.498369
81274: 10.1101/2020.07.27.223354
81535: 10.1101/2021.11.12.468444
81727: 10.1101/2022.07.21.500925
81926: 10.1101/2022.07.26.501569
84141: 10.1101/2021.09.24.461751
84338: 10.1101/2022.11.01.514717,10.1101/2022.11.01.514717
84355: 10.1101/2022.09.30.510381,10.1101/2022.09.30.510381
84364: 10.1101/2022.10.17.512253,10.1101/2022.10.17.512253
84385: 10.1101/2022.11.10.516056
84427: 10.1101/2022.10.21.513195
84537: 10.1101/2022.11.11.516105,10.1101/2022.11.11.516105
84553: 10.1101/2022.11.14.516431
84570: 10.1101/2023.01.03.522550,10.1101/2023.01.03.522550
84604: 10.1101/2022.07.13.499930,10.1101/2022.07.13.499930
84628: 10.1101/2022.10.28.514241
84630: 10.1101/2022.07.22.501195,10.1101/2022.07.22.501195
84747: 10.1101/2022.11.25.517922
84792: 10.1101/2022.11.24.517802,10.1101/2022.11.24.517802
84831: 10.1101/2022.10.30.514301,10.1101/2022.10.30.514301
84855: 10.1101/2021.06.21.449261
84874: 10.1101/2022.10.29.514266,10.1101/2022.10.29.514266
84875: 10.1101/2022.11.08.515699
84918: 10.1101/2022.12.01.518662,10.1101/2022.12.01.518662
84921: 10.1101/2022.04.01.486717
84926: 10.1101/2022.06.17.496451,10.1101/2022.06.17.496451
85069: 10.1101/2022.12.07.519455,10.1101/2022.12.07.519455
85111: 10.1101/2022.11.08.515698,10.1101/2022.11.08.515698
85380: 10.1101/2022.12.20.521179,10.1101/2022.12.20.521179
85562: 10.1101/2022.11.18.517042,10.1101/2022.11.18.517042
85596: 10.1101/2023.01.23.525177,10.1101/2023.01.23.525177
85597: 10.1101/2022.03.14.483784,10.1101/2022.03.14.483784
85646: 10.1101/2022.12.15.520660
85654: 10.1101/2023.01.11.523553,10.1101/2023.01.11.523553
85760: 10.1101/2022.03.08.483420,10.1101/2022.03.08.483420
85786: 10.1101/2022.12.06.519376,10.1101/2022.12.06.519376
85795: 10.1101/2022.06.02.494625,10.1101/2022.06.02.494625
85875: 10.1101/2022.10.21.513138,10.1101/2022.10.21.513138
85921: 10.21203/rs.3.rs-2200020/v3,10.21203/rs.3.rs-2200020/v4
86016: 10.1101/2023.01.06.523006
86100: 10.1101/2022.12.20.521208
86169: 10.1101/2023.02.02.526762
86191: 10.1101/2023.01.04.522718
86194: 10.1101/2022.11.23.517579
86324: 10.21203/rs.3.rs-2197876/v1,10.21203/rs.3.rs-2197876/v2
86464: 10.1101/2020.01.28.922773
86507: 10.1101/2023.01.26.525679
86577: 10.1101/2023.02.27.530196
86591: 10.1101/2023.02.08.527616,10.1101/2023.02.08.527616
86628: 10.1101/2023.02.14.528498,10.1101/2023.02.14.528498
86633: 10.1101/2023.02.10.528013,10.1101/2023.02.10.528013
86635: 10.1101/2023.01.26.525764,10.1101/2023.01.26.525764
86636: 10.1101/2022.11.09.515847,10.1101/2022.11.09.515847
86663: 10.1101/2023.01.15.524087
86670: 10.1101/2021.05.12.443782,10.1101/2021.05.12.443782,10.1101/2021.05.12.443782
86689: 10.1101/2023.02.15.528649,10.1101/2023.02.15.528649,10.1101/2023.02.15.528649
86699: 10.1101/2023.02.08.527633,10.1101/2023.02.08.527633
86700: 10.1101/2023.02.22.529599
86722: 10.1101/2022.09.08.507137
86727: 10.1101/2023.02.01.526734
86776: 10.1101/2023.01.26.525761
86823: 10.1101/2023.02.21.529339
86845: 10.1101/2023.02.27.530236
86931: 10.1101/2023.02.21.529382
86972: 10.1101/2022.10.25.513688
86975: 10.1101/2022.12.09.519720,10.1101/2022.12.09.519720,10.1101/2022.12.09.519720
86976: 10.1101/2023.02.22.529521,10.1101/2023.02.22.529521
87026: 10.1101/2023.02.23.529713,10.1101/2023.02.23.529713
87038: 10.1101/2023.02.27.530167,10.1101/2023.02.27.530167
87039: 10.1101/2023.02.15.528756,10.1101/2023.02.15.528756
87042: 10.1101/2023.02.23.529669
87146: 10.1101/2023.02.20.529267,10.1101/2023.02.20.529267
87147: 10.1101/2023.02.01.526652,10.1101/2023.02.01.526652,10.1101/2023.02.01.526652
87167: 10.1101/2023.02.23.529644,10.1101/2023.02.23.529644
87178: 10.1101/2023.03.06.531323,10.1101/2023.03.06.531323
86847: 10.1101/2023.02.24.529905
86360: 10.1101/2023.04.11.536378
86824: 10.1101/2022.05.16.492226,10.1101/2022.05.16.492226
87253: 10.1101/2023.03.13.532331
87135: 10.1101/2022.09.28.509958,10.1101/2022.09.28.509958
86784: 10.1101/2023.02.14.528495,10.1101/2023.02.14.528495
87523: 10.1101/2022.12.16.520841
86669: 10.1101/2023.01.24.525372,10.1101/2023.01.24.525372
86805: 10.1101/2022.01.31.478462,10.1101/2022.01.31.478462
86940: 10.1101/2023.02.17.528915,10.1101/2023.02.17.528915
87527: 10.1101/2022.05.24.493217
87281: 10.1101/2023.03.01.530608
86990: 10.1101/2023.02.22.529580,10.1101/2023.02.22.529580
86617: 10.1101/2021.04.20.440574,10.1101/2021.04.20.440574
87340: 10.1101/2023.03.10.532020
87192: 10.1101/2021.08.16.455933
87202: 10.1101/2023.02.19.529115,10.1101/2023.02.19.529115
87115: 10.1101/2023.02.27.530352,10.1101/2023.02.27.530352
87099: 10.1101/2023.02.05.527193,10.1101/2023.02.05.527193
87434: 10.1101/2022.10.22.513336
86892: 10.1101/2023.02.13.528254,10.1101/2023.02.13.528254
86943: 10.1101/2023.01.25.525596,10.1101/2023.01.25.525596
87008: 10.1101/2022.12.07.519469,10.1101/2022.12.07.519469
87714: 10.1101/2023.03.08.531698,10.1101/2023.03.08.531698
87510: 10.1101/2023.04.03.535330,10.1101/2023.04.03.535330
86913: 10.1101/2023.02.22.529558,10.1101/2023.02.22.529558
86749: 10.1101/2023.02.03.527083
87126: 10.1101/2023.02.13.528292,10.1101/2023.02.13.528292
87297: 10.1101/2022.12.31.522374
87521: 10.1101/2020.11.18.388736,10.1101/2020.11.18.388736
87048: 10.1101/2023.01.11.523568,10.1101/2023.01.11.523568
87188: 10.1101/2023.02.25.23286442,10.1101/2023.02.25.23286442
86961: 10.1101/2023.03.01.530673,10.1101/2023.03.01.530673
87283: 10.1101/2023.02.17.528944,10.1101/2023.02.17.528944
86740: 10.1101/2022.11.21.516403,10.1101/2022.11.21.516403
86695: 10.1101/2022.12.15.519769
87515: 10.1101/2023.03.06.530999,10.1101/2023.03.06.530999
88049: 10.1101/2022.05.05.490833,10.1101/2022.05.05.490833
87455: 10.1101/2023.03.12.532261
87301: 10.1101/2022.06.08.495407
87037: 10.1101/2023.03.14.532639,10.1101/2023.03.14.532639
86920: 10.1101/2023.02.08.527629
87468: 10.1101/2022.01.26.477944,10.1101/2022.01.26.477944
87569: 10.1101/2023.03.22.533818,10.1101/2023.03.22.533818
87386: 10.1101/2023.02.28.530337
87445: 10.1101/2023.03.15.532726
86812: 10.1101/2022.12.02.514196
87935: 10.1101/2023.03.30.534894
87065: 10.1101/2023.01.11.523681,10.1101/2023.01.11.523681
86843: 10.1101/2023.02.17.528984
86820: 10.1101/2023.01.06.523018
86837: 10.1101/2023.02.05.527133,10.1101/2023.02.05.527133,10.1101/2023.02.05.527133
87252: 10.1101/2020.09.28.283952
87055: 10.1101/2022.11.14.516400
87965: 10.1101/2022.01.26.477791
87956: 10.1101/2023.02.14.528555,10.1101/2023.02.14.528555
87672: 10.1101/2021.04.04.438362,10.1101/2021.04.04.438362
87005: 10.1101/2023.03.29.534786,10.1101/2023.03.29.534786
86903: 10.1101/2023.02.03.527066
87496: 10.1101/2023.03.23.533972,10.1101/2023.03.23.533972
87674: 10.1101/2023.03.16.532898
87357: 10.1101/2023.03.26.534293,10.1101/2023.03.26.534293
87696: 10.1101/2022.10.24.513565,10.1101/2022.10.24.513565
87868: 10.1101/2022.04.21.489011
88088: 10.1101/2023.03.22.533773
87616: 10.1101/2022.03.26.485947,10.1101/2022.03.26.485947
87528: 10.1101/2023.03.29.534798
86737: 10.1101/2023.01.10.521942
87559: 10.1101/2023.03.16.532982,10.1101/2023.03.16.532982
87729: 10.1101/2023.01.03.522583
87651: 10.1101/2023.03.17.533096,10.1101/2023.03.17.533096
87671: 10.1101/2022.10.21.512903
87092: 10.1101/2023.02.13.528273
87094: 10.1101/2022.08.15.504010
87592: 10.1101/2023.03.08.23286896
86933: 10.1101/2022.06.13.495984
87368: 10.1101/2023.02.14.528558
88058: 10.1101/2023.04.12.536585,10.1101/2023.04.12.536585
88273: 10.1101/2023.04.13.536680
86996: 10.1101/348755
88138: 10.1101/2022.12.15.520590
86687: 10.1101/2023.02.20.529215,10.1101/2023.02.20.529215
87572: 10.1101/2023.03.07.531331,10.1101/2023.03.07.531331
87756: 10.1101/2023.03.20.533514
88317: 10.1101/2023.04.10.536204
87303: 10.1101/2023.02.25.530042
87406: 10.1101/2023.02.26.530115,10.1101/2023.02.26.530115
88299: 10.1101/2021.12.23.474010
87602: 10.1101/2023.02.11.528119
88261: 10.1101/2023.01.19.521267
87691: 10.1101/2023.02.01.526489
87292: 10.1101/2023.04.03.535399
87133: 10.1101/2023.02.09.525144,10.1101/2023.02.09.525144
88623: 10.1101/2022.12.22.521681
88579: 10.1101/2023.04.12.536539
88229: 10.1101/2023.04.05.535764,10.1101/2023.04.05.535764
88057: 10.1101/2023.03.27.534424
87958: 10.1101/2023.03.29.534689,10.1101/2023.03.29.534689
87022: 10.1101/2022.11.03.515022
87414: 10.1101/2023.02.03.526987,10.1101/2023.02.03.526987
87726: 10.1101/2023.03.21.533599
87860: 10.1101/2023.02.10.528004,10.1101/2023.02.10.528004
88488: 10.1101/2021.02.14.431189
87536: 10.1101/2023.02.15.528598,10.1101/2023.02.15.528598
88117: 10.1101/2021.12.28.21268440,10.1101/2021.12.28.21268440
88183: 10.1101/2023.04.13.536751
87120: 10.1101/2023.04.03.535373
87317: 10.1101/2022.10.15.22281053,10.1101/2022.10.15.22281053
88289: 10.1101/2023.04.07.536092,10.1101/2023.04.07.536092
87989: 10.1101/2023.03.20.533444,10.1101/2023.03.20.533444
86939: 10.1101/2023.03.20.533418,10.1101/2023.03.20.533418
87518: 10.1101/2023.03.29.534670
88658: 10.1101/2023.01.25.525547
86721: 10.1101/2023.01.30.526367,10.1101/2023.01.30.526367,10.1101/2023.01.30.526367
87306: 10.1101/2023.03.22.533827,10.1101/2023.03.22.533827
86668: 10.1101/2022.06.15.496293
88144: 10.1101/2022.01.06.475273,10.1101/2022.01.06.475273,10.1101/2022.01.06.475273
88268: 10.1101/2022.10.27.514092
86978: 10.1101/2022.11.29.516809
88212: 10.1101/2020.08.14.251975
86833: 10.1101/2023.02.07.527404,10.1101/2023.02.07.527404
88491: 10.1101/2023.04.17.537164
88456: 10.1101/2023.01.26.525665,10.1101/2023.01.26.525665
87742: 10.1101/2023.04.15.537018
86764: 10.1101/2023.03.13.532446
87316: 10.1101/2022.08.08.503143
87430: 10.1101/2023.03.07.531563
87739: 10.1101/2023.03.26.534303
88054: 10.1101/2023.04.02.535275
87458: 10.1101/2023.03.21.533660,10.1101/2023.03.21.533660
86944: 10.1101/2023.01.09.523031,10.1101/2023.01.09.523031
88135: 10.1101/2023.04.13.536715
87361: 10.21203/rs.3.rs-2407778/v1
87288: 10.1101/2023.02.21.529383
87151: 10.1101/2021.08.05.455139,10.1101/2021.08.05.455139
88132: 10.1101/2023.04.04.535507
88084: 10.1101/2023.04.19.537447,10.1101/2023.04.19.537447
87730: 10.1101/2023.01.31.526541
87217: 10.1101/2023.02.20.529330
